id,Unnamed: 0.1,name,artists,artistid,explicit,popularity,durationms,year,genres,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
6E11E0lT5Zy7yb6iT3y8DN,94,Want U Back,['Cher Lloyd'],4m4SfDVbF5wxrwEjDKgi4k,False,61,214573,2012,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'social media pop', 'talent show']",0.694,0.0562,0.891,0.0,0.561,-2.94,0.0949,97.939,0.563
0obBFrPYkSoBJbvHfUIhkv,95,Sexy And I Know It,['LMFAO'],3sgFRtyBnxXD5ESfmbK4dl,False,61,199480,2012,"['dance pop', 'pop', 'pop rap']",0.707,0.1,0.861,0.0,0.191,-4.225,0.316,130.021,0.795
0vFMQi8ZnOM2y8cuReZTZ2,96,Blown Away,['Carrie Underwood'],4xFUf1FHVy696Q1JQZMTRj,False,61,240133,2012,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']",0.531,0.0909,0.843,0.0,0.0283,-2.569,0.0429,136.991,0.392
2L7rZWg9RLxIwnysmxm4xk,97,Boyfriend,['Justin Bieber'],1uNFoZAHBGtllmzznpCI3s,False,61,171333,2012,"['canadian pop', 'pop']",0.717,0.0358,0.55,0.00198,0.126,-6.019,0.0519,96.979,0.331
5kcE7pp02ezLZaUbbMv3Iq,98,Pound The Alarm,['Nicki Minaj'],0hCNtLu0JehylgoiP8L4Gh,True,60,205640,2012,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",0.728,0.0403,0.858,4.09e-06,0.0241,-3.686,0.0609,125.055,0.591
1RMRkCn07y2xtBip9DzwmC,99,Turn Up the Music,['Chris Brown'],7bXgB6jMjp9ATFy66eO08Z,False,60,227973,2012,"['dance pop', 'r&b']",0.594,0.000238,0.841,2.22e-06,0.156,-5.792,0.102,129.925,0.643
2dLLR6qlu5UJ5gk0dKz0h3,100,Royals,['Lorde'],163tK9Wjr9P9DmM0AVK7lm,False,76,190185,2013,"['art pop', 'metropopolis', 'nz pop', 'pop']",0.674,0.121,0.428,0.0,0.132,-9.504,0.122,84.878,0.337
5PUvinSo4MNqW7vmomGRS7,101,Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",0ZrpamOxcZybMHGg1AYtHP,False,53,263053,2013,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",0.861,0.00412,0.504,1.78e-05,0.0783,-7.707,0.0489,120.0,0.881
4G8gkOterJn0Ywt6uhqbhp,102,Radioactive,['Imagine Dragons'],53XhwfbYqKCa1cC15pYq2q,False,69,186813,2013,"['modern rock', 'rock']",0.448,0.106,0.784,0.000108,0.668,-3.686,0.0627,136.245,0.236
0nrRP2bk19rLc0orkWPQk2,103,Wake Me Up,['Avicii'],1vCWHaC5f2uS3yhpwWbIA6,False,82,247426,2013,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",0.532,0.0038,0.783,0.0012,0.161,-5.697,0.0523,124.08,0.643
3w3y8KPTfNeOKPiqUTakBh,104,Locked out of Heaven,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,False,84,233478,2013,"['dance pop', 'pop']",0.726,0.049,0.698,0.0,0.309,-4.165,0.0431,143.994,0.867
6CjtS2JZH9RkDz5UVInsa9,105,Thrift Shop (feat. Wanz),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Wanz']",5BcAKTbp20cv7tC5VqPFoC,True,74,235613,2013,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.781,0.0633,0.526,0.0,0.0457,-6.986,0.293,94.993,0.665
2Foc5Q5nqNiosCNqttzHof,106,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",4tZwfgrHOc3mvqYlEYSvVi,False,78,248413,2013,"['electro', 'filter house']",0.794,0.0426,0.811,1.07e-06,0.101,-8.966,0.038,116.047,0.862
3JvKfv6T31zO0ini8iNItO,107,Another Love,['Tom Odell'],2txHhyCwHjUEpJjWrEyqyX,True,90,244360,2013,"['chill pop', 'pop']",0.445,0.695,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,0.131
2QjOHCTQ1Jl3zawyYOpxh6,108,Sweater Weather,['The Neighbourhood'],77SW9BnxLY8rJ0RciFqkHh,False,88,240400,2013,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,0.398
