,Unnamed: 0,name,artists,artistid,id,explicit,popularity,durationms,year,genres
937,37,DÁKITI,"['Bad Bunny', 'Jhayco']",4q3ewBCX7sLwd24euuV69X,4MzXwWMhyBbmu6hOcLVD49,True,76,205090,2021,"['reggaeton', 'trap latino', 'urbano latino']"
938,38,Todo De Ti,['Rauw Alejandro'],1mcTU81TzQhprhouKaTkpq,4fSIb4hdOQ151TILNsSEaF,True,77,199604,2021,"['puerto rican pop', 'trap latino', 'urbano latino']"
939,39,Baila Conmigo (with Rauw Alejandro),"['Selena Gomez', 'Rauw Alejandro']",0C8ZW7ezQVs4URX5aX7Kqx,079Ey5uxL04AKPQgVQwx5h,False,70,186087,2021,"['dance pop', 'pop', 'post-teen pop']"
940,40,Shivers,['Ed Sheeran'],6eUKZXaKkcviH0Ku9w2n3V,75MNhvTCCKsST3YqqUiU9r,False,71,207853,2021,"['pop', 'uk pop']"
941,41,Solar Power,['Lorde'],163tK9Wjr9P9DmM0AVK7lm,3KdoeNlEN0BoAKWzaRLNZa,False,0,192621,2021,"['art pop', 'metropopolis', 'nz pop', 'pop']"
942,42,We're Good,['Dua Lipa'],6M2wZ9GZgrQXHCFfjv46we,1diS6nkxMQc3wwC4G1j0bh,False,72,165506,2021,"['dance pop', 'pop', 'uk pop']"
943,43,WITHOUT YOU (with Miley Cyrus),"['The Kid LAROI', 'Miley Cyrus']",2tIP7SsRs7vjIcLrU85W8J,1EHUQesfVKwbthtNcpBi9g,True,74,161384,2021,"['australian hip hop', 'pop']"
944,44,late at night,['Roddy Ricch'],757aE44tKEUQEqRuT6GnEB,1fxYz1s15pyZLsJT0Hdh1m,True,64,174682,2021,"['melodic rap', 'rap', 'trap']"
945,45,Calling My Phone,"['Lil Tjay', '6LACK']",6jGMq4yGs7aQzuGsMgVgZR,3J8EOeKLTLXORtWPpOU5bE,True,77,205458,2021,"['brooklyn drill', 'melodic rap', 'nyc rap']"
946,46,RAPSTAR,['Polo G'],6AgTAQt8XS6jRWi4sX7w49,18vXApRmJSgQ6wG2ll9AOg,True,78,165925,2021,['chicago rap']
947,47,Girls Want Girls (with Lil Baby),"['Drake', 'Lil Baby']",3TVXtAsR1Inumwj472S9r4,37Nqx7iavZpotJSDXZWbJ3,True,74,221979,2021,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
948,48,Whoopty,['CJ'],7arQA31aZVS8yS6zUveWzb,5vGLcdRuSbUhD8ScwsGSdA,True,70,123262,2021,['nyc rap']
949,49,Mood (feat. iann dior),"['24kGoldn', 'iann dior']",6fWVd57NKTalqvmjRd2t8Z,4jPy3l0RUwlUI9T5XHBW2m,True,79,140533,2021,"['cali rap', 'pop', 'pop rap', 'rap']"
950,50,LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",4q3ewBCX7sLwd24euuV69X,2XIc1pqjXV3Cr2BQUGNBck,False,77,203200,2021,"['reggaeton', 'trap latino', 'urbano latino']"
951,51,Anyone,['Justin Bieber'],1uNFoZAHBGtllmzznpCI3s,31qCy5ZaophVA81wtlwLc4,False,71,190779,2021,"['canadian pop', 'pop']"
952,52,willow,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,0lx2cLdOt3piJbcaXIV74f,False,74,214706,2021,['pop']
953,53,Hold On,['Justin Bieber'],1uNFoZAHBGtllmzznpCI3s,4u4NyuceXP7Uzh7XFJKCr1,False,70,170813,2021,"['canadian pop', 'pop']"
954,54,Love Story (Taylor’s Version),['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,3CeCwYWvdfXbZLXFhBrbnf,False,72,235766,2021,['pop']
