,id,name,artists,artistid,explicit,popularity,durationms,year,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,dancepop,edm,pop,poprap,rap,arianagrande,badbunny,billieeilish,brunomars,calvinharris,cardib,chrisbrown,drake,dualipa,edsheeran,justinbieber,kendricklamar,khalid,nickiminaj,postmalone,rihanna,selenagomez,shawnmendes,taylorswift,theweeknd
28,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,"['Gotye', 'Kimbra']",2AsusXITU8P25dlRNhcAbG,False,72,244973,2012,0.864,0.591,0.495,0.000133,0.0992,-7.036,0.037,129.062,0.72,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0VwNdo84DaVYLIkbVO86ND,We Are Never Ever Getting Back Together,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,False,72,193146,2012,0.628,0.00957,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,0.75,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,7oVEtyuv9NBmnytsCIsY5I,BURN IT DOWN,['Linkin Park'],6XyY86QOPPrYVGvF9ch6wz,False,71,230253,2012,0.585,0.0143,0.972,0.0,0.0707,-4.45,0.0534,110.006,0.585,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3oL3XRtkP1WVbMxf7dtTdu,The One That Got Away,['Katy Perry'],6jJ0s89eD6GaHleKKya26X,False,71,227333,2012,0.687,0.000802,0.792,0.0,0.2,-4.023,0.0353,133.962,0.864,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6s8nHXTJVqFjXE4yVZPDHR,Troublemaker (feat. Flo Rida),"['Olly Murs', 'Flo Rida']",3whuHq0yGx60atvA2RCVRW,False,71,185586,2012,0.762,0.015,0.863,0.0,0.125,-3.689,0.0561,106.012,0.965,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,['Flo Rida'],0jnsk9HBra6NMjO2oANoPY,False,73,248133,2012,0.706,0.0588,0.89,0.00286,0.306,-4.444,0.0688,128.011,0.684,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0TAmnCzOtqRfvA38DDLTjj,Little Things,['One Direction'],4AK6F7OLvEQ5QYCBNiQWHq,False,71,219040,2012,0.709,0.811,0.22,0.0,0.175,-11.856,0.0327,110.076,0.53,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0W4Kpfp1w2xkY3PrV714B7,Ho Hey,['The Lumineers'],16oZKvXb6WkQlVAjwo2Wbg,False,71,163133,2012,0.685,0.794,0.466,2.06e-06,0.0915,-9.074,0.0304,79.936,0.353,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,56sxN1yKg1dgOZXBcAHkJG,"Gone, Gone, Gone",['Phillip Phillips'],6p5JxpTc7USNnBnLzctyd4,False,71,209693,2012,0.664,0.129,0.642,0.0,0.114,-5.961,0.038,118.002,0.501,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),['PSY'],2dd5mrQZvg6SmahdgVKDzh,False,71,219493,2012,0.727,0.00417,0.937,0.0,0.091,-2.871,0.286,132.067,0.749,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
